web-scraper-order,web-scraper-start-url,profile,profile-href,brand,model,price,stars,t2size,t2width,arch,weight,comfort,style,comment
1588906391-4890,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-nova-run-legend-ink-dash-grey-bright-cyan/product/9221117/color/840127,adidas Running,Nova Run,$63.00 ,5Rated 5 stars out of 5,100%,100%,100%,Weight: 13 oz,5Rated 5 stars out of 5,,
1588906217-4062,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/nike-flex-2019-rn-black-black-university-red-white/product/9191881/color/370299,Nike,Flex 2019 RN,$85.00 ,3Rated 3 stars out of 5,86%,92%,93%,Weight: 10 oz,,,"I've worn 8 1/2 shoes my whole life... the last pair of Nike athletic shoes I ended up with a 9 1/2 before they fit well. These shoes in a 9 1/2 are snug, but seem to really grip my foot well. They are great for athletic activity like cardio. If I was going to wear these casually and not for athletic purposes I'd bump up to a size 10. They do have a sort of ""sock"" that your foot goes into... I don't have any problem putting them on. Once on the shoe really holds your foot in place."
1588907231-7743,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/nike-renew-run-black-metallic-silver-white/product/9307245/color/20502,Nike,Renew Run,$82.35 ,5Rated 5 stars out of 5,73%,77%,82%,Weight: 12.2 oz,5Rated 5 stars out of 5,,
1588907225-7714,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/nike-renew-run-black-total-orange-particle-grey/product/9307245/color/837390,Nike,Renew Run,$70.88 ,5Rated 5 stars out of 5,73%,77%,82%,Weight: 12.2 oz,,,Great running shoe with lots of support. Very lightweight with good thick sole.
1588906238-4162,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/nike-run-all-day-2-iron-grey-metallic-copper-dark-smoke-grey/product/9312412/color/839215,Nike,Run All Day 2,$52.50 ,4Rated 4 stars out of 5,91%,100%,80%,Weight: 9.6 oz,5Rated 5 stars out of 5,,
1588907391-8542,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/new-balance-fresh-foam-arishi-v3-neo-crimson-black/product/9334474/color/849100,New Balance,Fresh Foam Arishi v3,$51.64 ,4Rated 4 stars out of 5,69%,83%,77%,Weight: 9.2 oz,3Rated 3 stars out of 5,,
1588906348-4693,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-alphabounce-3-solar-red-core-black-grey-three/product/9315075/color/849334,adidas Running,Alphabounce 3,$100.00 ,4Rated 4 stars out of 5,100%,100%,83%,Weight: 10.2 oz,,5Rated 5 stars out of 5,
1588905991-3152,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/skechers-go-run-vortex-navy-yellow/product/9257840/color/515,SKECHERS,Go Run Vortex,$59.99 ,3Rated 3 stars out of 5,50%,50%,100%,Weight: 12 oz,2Rated 2 stars out of 5,,
1588907556-9474,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/brooks-levitate-3-white-grey-blue/product/9305403/color/8095,Brooks,Levitate 3,$149.95 ,4Rated 4 stars out of 5,88%,75%,75%,Weight: 12 oz,,,"Shoe looks amazing and feels like you are walking on air. I returned them b/c they rubbed my achilles heel a bit after walking for ~5 hours (took kids to the zoo, great way to test them). Might work better if you have narrower heels, or possibly if you get a wider option, but everything else about them was great. Really lightweight and a great shoe, so I was disappointed that the snug fit at the heel caused the discomfort."
1588907615-9744,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/brooks-levitate-2-black-blue-nightlife/product/9045793/color/772228,Brooks,Levitate 2,$98.94 ,4Rated 4 stars out of 5,89%,93%,68%,Weight: 13 oz,,5Rated 5 stars out of 5,
1588907496-9104,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-run-all-day-2-grey-fog-black-volt-white/product/9312412/color/856111,Nike,Run All Day 2,$70.00 ,4Rated 4 stars out of 5,91%,100%,80%,Weight: 9.6 oz,,,Bought these to wear to Vegas for all the walking.. I'm more of a Chucks guy for style.. These did not disappoint. Put em on immediately before walkin the Vegas strip.. No uncomfortable break in period or feel. These rocked out in comfort. Even wore em on a day trip to the Grand Canyon.. Put some miles on these this weekend.. Highly recommend these for comfort and durability. No sweaty feet or blisters.. Pretty happy with my purchase
1588906126-3742,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/saucony-versafoam-cohesion-12-black-black/product/9161123/color/183092,Saucony,Versafoam Cohesion 12,$39.95 ,4Rated 4 stars out of 5,90%,98%,89%,Weight: 9 oz,5Rated 5 stars out of 5,,
1588907283-8010,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-roav-fusion-vivid-cobalt-black-textile/product/9279508/color/830526,New Balance,Fresh Foam Roav Fusion,$84.99 ,3Rated 3 stars out of 5,67%,67%,67%,Weight: 11.5 oz,,,"First time purchasing a ""minimalist"" sneaker.  Very difficult to get on due to the lack of a traditional tongue.  Once you manage to get them on they feel very comfortable.  Very stylish item.  However they will take some getting used too."
1588906116-3683,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/newton-running-fate-5-blue-green/product/9206169/color/9436,Newton Running,Fate 5,$112.00 ,4Rated 4 stars out of 5,100%,100%,100%,Weight: 11 oz,5Rated 5 stars out of 5,,
1588906862-6415,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=5,,https://www.zappos.com/p/under-armour-ua-charged-assert-8-black-white-versa-red/product/9184515/color/840519,Under Armour,UA Charged Assert 8,$70.00 ,5Rated 5 stars out of 5,67%,94%,72%,Weight: 11 oz,5Rated 5 stars out of 5,,
1588907851-11090,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/new-balance-940v4-magnet-marine-blue/product/9326436/color/844609,New Balance,940v4,$129.99 ,4Rated 4 stars out of 5,88%,82%,76%,Weight: 14 oz,,,Sole was pronated.  I didn't need this.  I have flat feet. Shoe was uncomfortable to walk in.
1588907077-7104,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/hoka-one-one-bondi-6-imperial-blue-mojalica-blue/product/9052010/color/842495,Hoka One One,Bondi 6,$149.95 ,4Rated 4 stars out of 5,82%,85%,72%,Weight: 13 oz,2Rated 2 stars out of 5,,
1588907023-6871,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/under-armour-charged-rogue-2-black-black-black/product/9315964/color/24150,Under Armour,Charged Rogue 2,$80.00 ,5Rated 5 stars out of 5,50%,100%,50%,Heel Height: 1 2?5 in,,,They fit great. Very comfortable. Took them on a 10 miler day 1 and was very pleased.
1588906432-5166,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/asics-gel-kayano-26-grey-black/product/9214830/color/408,ASICS,GEL-Kayano® 26,$119.95 ,4Rated 4 stars out of 5,79%,86%,70%,Weight: 13 oz,,,"Have mixed feelings about the shoe. Fits well and is supportive. It just doesn’t have that pop to it that most running shoes have on release. It absorbs the shock and dissipates the energy rather than sending you forward. Maybe that’s what it supposed to do, but it makes the miles feel a little further than usual.  Even though the styling is a little aggressive, upon close examination, it’s an attractive shoe."
1588906354-4725,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-response-trail-legacy-green-sand-legend-earth/product/9221122/color/840130,adidas Running,Response Trail,$53.00 ,3Rated 3 stars out of 5,86%,100%,100%,Weight: 12 oz,,,"Ended up returning these with the Zappos Runlimited 30-day guarantee (thank you Zappos!). First impression was that they felt flimsy and had pretty weak support but looked good. Within the first week one of the pull tabs on the heel ripped off and the fabric around the ankle started fraying, so I returned them."
1588907931-11535,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gel-contend-6-black-carrier-grey/product/9314672/color/807728,ASICS,GEL-Contend® 6,$49.95 ,4Rated 4 stars out of 5,92%,75%,69%,Weight: 10 oz,5Rated 5 stars out of 5,,
1588907760-10535,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-cumulus-21-sheet-rock-mako-blue/product/9215264/color/807674,ASICS,GEL-Cumulus® 21,$99.95 ,4Rated 4 stars out of 5,90%,97%,84%,Weight: 11 oz,,5Rated 5 stars out of 5,
1588906725-5945,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/on-cloud-waterproof-forest-lunar/product/9054700/color/783165,On,Cloud Waterproof,$149.99 ,4Rated 4 stars out of 5,78%,90%,86%,Weight: 11 oz,5Rated 5 stars out of 5,,
1588907065-7054,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/hoka-one-one-bondi-6-deep-teal-green-oasis/product/9052010/color/813652,Hoka One One,Bondi 6,$149.95 ,4Rated 4 stars out of 5,82%,85%,72%,Weight: 13 oz,5Rated 5 stars out of 5,,
1588906851-6391,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=5,,https://www.zappos.com/p/mizuno-wave-creation-waveknitt-2-tang-tango-tawny-port/product/9309664/color/837991,Mizuno,Wave Creation WAVEKNIT™ 2,$180.00 ,4Rated 4 stars out of 5,null,null,null,Weight: 13 oz,,,
1588907503-9139,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-run-all-day-2-black-white-off-noir/product/9312412/color/839238,Nike,Run All Day 2,$64.58 ,4Rated 4 stars out of 5,91%,100%,80%,Weight: 9.6 oz,5Rated 5 stars out of 5,,
1588907200-7606,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-1540v3-grey-black/product/9221130/color/408,New Balance,1540v3,$174.99 ,4Rated 4 stars out of 5,79%,88%,65%,Weight: 1 lb 2 oz,,,"Initial impressions. 
The tongue is too short like everyone else says. The heels are a little weak so I might not be able to slip these one sometime like other quality sturdy shoes. There is a little extra room around the toes. I don't this this will bother me, the room is there if you need it. 

So the heal area is cheapened and weakened a little with the mesh outer.   Some bean counter probley Oked to small tongue too.  Then they plaster Made in the USA all over these. Give me a break! You keep cheaping these shoes that you want a FORTUNE FOR.  They is no noticeable technology about this shoe. The footbed has good support and is wide but there is nothing spectacular about the insole softness.   You could get away with some $60 Sketchers.   I also buy very expensive Clarks and other high quality shoes. 

I am keeping them because of other statements about foot support but that is the only reason. I dont mind paying for a quality shoe but these dont impress me."
1588907343-8272,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-1080v10-neo-crimson-neo-flame/product/9326406/color/840609,New Balance,Fresh Foam 1080v10,$149.95 ,4Rated 4 stars out of 5,84%,82%,74%,Weight: 10 oz,,,"The 1080 line gets better and better each year, and I thought it was great two years ago! I am a size 16 underpronator, and not only are these shoes great for running or walking, they don't look big on my feet! My back feels great after each workout. The only detail that some may not like with the v10s is how high the back end of the shoe is. They may not hang nicely over your khakis or jeans, which means you may lose some style points."
1588906265-4319,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/nike-air-zoom-pegasus-36-black-metallic-summit-white-midnight-turquoise/product/9311447/color/838649,Nike,Air Zoom Pegasus 36,$89.99 ,4Rated 4 stars out of 5,83%,100%,50%,Weight: 1 lb 3.8 oz,,,"Do not trust Nike.com size chart. I have a 30,5 cm foot, which is a size 14 according to Nike. 
I received size 1; shoes, but they are 32 cm, which is a log bigger."
1588906242-4187,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/nike-legend-react-2-black-white-cool-grey-metallic-cool-grey/product/9222117/color/810299,Nike,Legend React 2,$100.00 ,5Rated 5 stars out of 5,100%,100%,50%,Weight: 11 oz,5Rated 5 stars out of 5,,
1588907795-10732,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gel-excitee-7-peacoat-classic-red/product/9314771/color/840003,ASICS,GEL-Excite™ 7,$59.94 ,5Rated 5 stars out of 5,88%,100%,76%,Weight: 10 oz,,,"I bought these shoes to endure 5 days of Disney world. They were great especially for the price. I have a hard time finding the right fit because I’m a size 15+. A size 16 in these worked perfectly. I wouldn’t have made 20,000+ steps a day without these shoes. Wish I could wear them to work!"
1588907814-10849,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/new-balance-990v5-nimbus-cloud-silver/product/9188289/color/857442,New Balance,990v5,$174.95 ,4Rated 4 stars out of 5,89%,88%,74%,Weight: 14 oz,2Rated 2 stars out of 5,,
1588907629-9823,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/brooks-revel-3-black-blackened-pearl-white/product/9223537/color/810933,Brooks,Revel 3,$79.95 ,5Rated 5 stars out of 5,88%,86%,71%,Weight: 9 oz,5Rated 5 stars out of 5,,
1588906602-5465,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/saucony-kinvara-11-blue-black/product/9339290/color/3691,Saucony,Kinvara 11,$110.00 ,4Rated 4 stars out of 5,50%,100%,100%,Weight: 9 oz,5Rated 5 stars out of 5,,
1588906903-6532,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=5,,https://www.zappos.com/p/under-armour-charged-escape-3-mod-gray-mod-gray-mod-gray/product/9224795/color/784803,Under Armour,Charged Escape 3,$90.00 ,5Rated 5 stars out of 5,80%,100%,100%,Weight: 10.4 oz,,,My husband found these shoes in a store but they didn’t have his size. As always found exactly the size he needed on Zappos!! These shoes are very light weight and my husband loves them. He says they’re super comfortable.
1588907770-10600,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-quantum-90-2-white-piedmont-grey/product/9319255/color/811548,ASICS,GEL-Quantum® 90 2,$67.94 ,5Rated 5 stars out of 5,100%,100%,67%,Weight: 10 oz,,,Hubs loved them right out of the box! Perfectly comfortable and just what he wanted for walking & wearing at home after the work boots come off! He also thinks they are “stylin”!
1588907762-10541,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-nimbus-22-mink-black/product/9315741/color/163791,ASICS,GEL-Nimbus® 22,$149.95 ,4Rated 4 stars out of 5,90%,85%,85%,Heel Height: 2 in,5Rated 5 stars out of 5,,
1588907981-11858,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gt-2000-8-black-black/product/9300940/color/183092,ASICS,GT-2000 8,$119.95 ,4Rated 4 stars out of 5,75%,69%,65%,Weight: 10 oz,,,First pair of Asics I have bought in a few years. Now that they carry bigger sizes (17) I decided to try them again as I loved their jell soles in past. Moved from Medium width to wide for a little more box area. Have not worn a lot yet but extremely comfortable and great walking shoes. Will buy another pair once they get more into stock.  Very pleased.
1588907322-8156,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-890v7-white-black/product/9191218/color/742,New Balance,890V7,$85.35 ,4Rated 4 stars out of 5,69%,62%,71%,Weight: 6.4 oz,5Rated 5 stars out of 5,,
1588907322-8154,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-890v7-white-black/product/9191218/color/742,New Balance,890V7,$85.35 ,4Rated 4 stars out of 5,69%,62%,71%,Weight: 6.4 oz,5Rated 5 stars out of 5,,
1588907345-8283,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fuelcell-propel-lead-black/product/9221129/color/79932,New Balance,FuelCell Propel,$76.99 ,5Rated 5 stars out of 5,92%,85%,64%,Weight: 9 oz,,,I'm a woman who purchases wide men's running shoes for my side feet. Love these! Lots of great spring back and comfortable running in for long distances. Would definitely recommend.
1588907447-8853,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-renew-ride-black-white-university-red-anthracite/product/9312399/color/784092,Nike,Renew Ride,$75.00 ,4Rated 4 stars out of 5,100%,75%,100%,Weight: 8.4 oz,1Rated 1 stars out of 5,,
1588907808-10820,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gel-nimbus-22-sheet-rock-graphite-grey/product/9315741/color/840598,ASICS,GEL-Nimbus® 22,$149.95 ,4Rated 4 stars out of 5,90%,85%,85%,Heel Height: 2 in,,,"Love these shoes!

I have feet issues involving plantar fasciitis and arthritis. The arch and heel support are excellent and the wide toe box is perfect for my poor arthritis feet. I was drawn the retro style of the white with blue and red stripes, which reminded me of Tigers I wore in college. These are my new favorite shoes."
1588907606-9696,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/brooks-levitate-2-grey-black-orange/product/9045793/color/7913,Brooks,Levitate 2,$89.93 ,4Rated 4 stars out of 5,89%,93%,68%,Weight: 13 oz,,,"This shoe has it all...Looks, comfort and balance. so impressed I ordered another color...These were my first Brooks...I think I found a new love...goodbye Nike and Saucony...well, you have been too bi polar for my tastes lately..."
1588906337-4625,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-ultraboost-20-core-black-boost-blue-violet-metallic-footwear-white/product/9315046/color/840103,adidas Running,Ultraboost 20,$180.00 ,4Rated 4 stars out of 5,81%,100%,59%,Weight: 11.8 oz,,5Rated 5 stars out of 5,
1588907507-9170,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-revolution-5-white-metallic-silver-midnight-navy/product/9266704/color/119613,Nike,Revolution 5,$65.00 ,4Rated 4 stars out of 5,86%,93%,57%,Weight: 11.4 oz,,,"This is like shopping for a mattress.  Nike keeps changing the model number.  The Revolution 4 shoe was perfect to size, comfort, weight, and style. Apparently the Rev-4 is being phased out based on the remaining 3 pathetic colors that remain in Zappo inventory. This leads to the Rev-5.  It is different enough to irritate me.  The fit is tighter and not as comfortable as Rev-4, the angle of the foot is different and not as comfortable, and the sole looks more like a platform.  I will keep these, but I wish they would stop the racket of obsolescence just so they can offer a new shoe at a higher price."
1588907692-10236,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-quantum-180-4-black-black/product/9134647/color/183092,ASICS,GEL-Quantum 180 4,$89.95 ,4Rated 4 stars out of 5,90%,81%,73%,Weight: 14 oz,,,"Fit well for the most part.  It was a tight around bridge of my foot and would almost make my toes feel like they were ""falling asleep"".  Don't know if it had to do with the width being a little more narrow than I am used to which made the shoe extra tight around the top of my foot or some other reason.  Sent them back."
1588907416-8704,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/new-balance-fresh-foam-roav-knit-gunmetal-summer-fog/product/9221174/color/809662,New Balance,Fresh Foam Roav Knit,$43.97 ,4Rated 4 stars out of 5,78%,71%,89%,Weight: 11 oz,,,Fit was perfect.. I ordered a pair of NIKE AIR Axis a week before and when these came was not please at all with fit  (way to tight) or overall quality of construction. I returned them.. searched for another similar style and found these New Balances.. ordered them.. they came within 3 days! Tried them on and they felt like clouds!!! Night and day difference to the NIKE.. now I’m looking at the NB GOLF shoe next!!! I’m out of the market for Nike’s going forward!!!
1588907221-7680,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/nike-renew-run-grey-fog-black-white-volt/product/9307245/color/855985,Nike,Renew Run,$85.16 ,5Rated 5 stars out of 5,73%,77%,82%,Weight: 12.2 oz,5Rated 5 stars out of 5,,
1588907723-10339,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-quantum-360-5-cream-classic-red/product/9216119/color/841500,ASICS,GEL-Quantum® 360 5,$134.99 ,4Rated 4 stars out of 5,57%,78%,100%,Weight: 14 oz,,,"I think these are pretty good running shoes if you're looking for some cushion. I wanted then to be cushioned for every day usage because of their excellent style, and then was pleasantly surprised with the cushioned feel of them on the treadmill after initially not being thrilled about the comfort and cushion."
1588907106-7259,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/on-cloudflow-citrus-sea/product/8810879/color/839261,On,Cloudflow,$139.99 ,4Rated 4 stars out of 5,84%,95%,77%,Weight: 9 oz,,,Love these shoes. Super lightweight and comfortable.  Only had them a short while so can't comment on durability.  The only issue I had was that I had to exchange sizes initially. I usually wear a 10.5 in New Balance and it seemed most people felt like these ran the same as New Balance so I got the 10.5. I ended up exchanging them for a 10 which fit perfectly.
1588907196-7568,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-1540v3-burgundy-grey/product/9221130/color/12025,New Balance,1540v3,$128.17 ,4Rated 4 stars out of 5,79%,88%,65%,Weight: 1 lb 2 oz,2Rated 2 stars out of 5,,
1588906005-3195,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/vibram-fivefingers-v-run-black-yellow/product/8639217/color/155,Vibram FiveFingers,V-Run,$130.00 ,4Rated 4 stars out of 5,72%,94%,47%,Weight: 4 oz,,,"This is my 2nd pair of V-Run Vibrams - I wore the first pair out from CrossFit training 3 - 5 days a week.  The first pair lasted more than 4 years after heavy heavy use.  I used to throw them in the washing machine once a week, but more recently just let them air dry between uses.  These are the best - good support and very light.  Almost like you can't even feel them."
1588907885-11255,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/brooks-adrenaline-gts-20-white-grey-deep-water/product/9221992/color/857598,Brooks,Adrenaline GTS 20,$129.95 ,4Rated 4 stars out of 5,84%,90%,66%,Weight: 10 oz,5Rated 5 stars out of 5,,
1588907500-9134,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-flex-experience-run-9-smoke-grey-metallic-copper-dark-smoke-grey/product/9312402/color/839220,Nike,Flex Experience Run 9,$48.75 ,4Rated 4 stars out of 5,57%,59%,80%,Heel Height: 1 2?5 in,,,"This shoe looks great and I ordered my normal sneaker size 8.5 Medium (D). When they arrived I couldn’t get them on with athletic socks on. So I took off the socks and tried barefoot. Nope, got them on but extremely narrow and my big toes were crammed right up against the toe of the shoes. Also I don’t have a particularly high instep but the tongue didn’t seem to be long enough to cover the top of my foot all the way. Would not have been able to wear them comfortably so I returned them, which is fast and easy with Zappos and I got my refund quickly."
1588906350-4701,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-edge-xt-dove-grey-core-black-footwear-white/product/9315041/color/840143,adidas Running,Edge XT,$80.00 ,5Rated 5 stars out of 5,100%,100%,100%,Heel Height: 1 3?5 in,,,pretty lit
